"filename", "language", "Dart", "JavaScript", "comment", "blank", "total"
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/service/syllabus_query_request.dart", "Dart", -379, 0, -11, -30, -420
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/service/syllabus_query_result.dart", "Dart", -265, 0, -9, -33, -307
"/Users/ryotarotakatsu/development/wase_dule/lib/main.dart", "Dart", -33, 0, 0, -4, -37
"/Users/ryotarotakatsu/development/wase_dule/lib/static/constant.dart", "Dart", -787, 0, 0, -28, -815
"/Users/ryotarotakatsu/development/wase_dule/lib/static/converter.dart", "Dart", -28, 0, -2, -6, -36
"/Users/ryotarotakatsu/development/wase_dule/lib/static/error_exception/error.dart", "Dart", -53, 0, -6, -7, -66
"/Users/ryotarotakatsu/development/wase_dule/lib/static/error_exception/exception.dart", "Dart", -43, 0, -3, -7, -53
"/Users/ryotarotakatsu/development/wase_dule/lib/static/error_exception/status_code.dart", "Dart", -18, 0, 0, -4, -22
"/Users/ryotarotakatsu/development/wase_dule/lib/test.dart", "Dart", -2837, 0, -81, -184, -3102
"Total", "-", -11415, -633, -652, -1192, -13892
