"filename", "language", "Dart", "comment", "blank", "total"
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/theme_setting.dart", "Dart", 89, 11, 7, 107
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/timetable_setting.dart", "Dart", 242, 0, 22, 264
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/add_data_card_button.dart", "Dart", 776, 17, 44, 837
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/deleted_tasks.dart", "Dart", 132, 0, 11, 143
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/expired_tasks.dart", "Dart", 138, 0, 9, 147
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/no_task_page.dart", "Dart", 78, 8, 6, 92
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_data_manager.dart", "Dart", 113, 9, 19, 141
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_modal_sheet.dart", "Dart", 482, 6, 26, 514
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_progress_indicator.dart", "Dart", 289, 12, 27, 328
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_view_page.dart", "Dart", 415, 10, 41, 466
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/tasklist_sort_category.dart", "Dart", 284, 4, 20, 308
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/tasklist_sort_date.dart", "Dart", 607, 18, 52, 677
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/attend_record/attend_menu_panel.dart", "Dart", 340, 0, 25, 365
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/attend_record/attend_stats_page.dart", "Dart", 392, 1, 28, 421
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/credit/credit_stats_page.dart", "Dart", 507, 9, 44, 560
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/credit/requiredcredits_stats.dart", "Dart", 149, 0, 12, 161
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_description_view.dart", "Dart", 261, 0, 19, 280
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_search_dialog.dart", "Dart", 558, 2, 38, 598
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_search_page.dart", "Dart", 595, 0, 47, 642
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_webview.dart", "Dart", 57, 1, 5, 63
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/course_add_page.dart", "Dart", 506, 1, 14, 521
